134.0	133.0	133.0
97.0	94.0	87.0
90.0	83.0	92.0
88.0	87.0	103.0
71.0	68.0	54.0
100.0	91.0	100.0
91.0	85.0	74.0
74.0	65.0	56.0
27.0	27.0	16.0
93.0	88.0	77.0
66.0	63.0	57.0
68.0	66.0	52.0
53.0	50.0	44.0
145.0	143.0	132.0
138.0	126.0	119.0
138.0	135.0	128.0
78.0	66.0	49.0
127.0	107.0	89.0
147.0	143.0	137.0
120.0	111.0	102.0
100.0	93.0	75.0
144.0	138.0	129.0
149.0	141.0	134.0
114.0	103.0	90.0
125.0	113.0	104.0
117.0	99.0	75.0
158.0	153.0	142.0
139.0	133.0	124.0
152.0	150.0	139.0
127.0	109.0	92.0
140.0	138.0	129.0
65.0	58.0	44.0
175.0	179.0	168.0
126.0	122.0	114.0
147.0	138.0	132.0
90.0	76.0	58.0
91.0	81.0	69.0
90.0	79.0	66.0
135.0	124.0	116.0
86.0	90.0	96.0
38.0	39.0	25.0
44.0	48.0	51.0
18.0	21.0	14.0
65.0	72.0	73.0
35.0	41.0	37.0
53.0	56.0	53.0
22.0	25.0	13.0
16.0	19.0	10.0
23.0	27.0	22.0
33.0	39.0	33.0
59.0	62.0	60.0
9.0	16.0	6.0
138.0	132.0	126.0
55.0	57.0	63.0
51.0	53.0	75.0
133.0	132.0	133.0
158.0	148.0	138.0
42.0	41.0	36.0
59.0	57.0	48.0
107.0	102.0	104.0
89.0	80.0	59.0
125.0	115.0	103.0
87.0	84.0	75.0
109.0	105.0	95.0
152.0	153.0	142.0
120.0	117.0	106.0
166.0	147.0	154.0
163.0	156.0	145.0
83.0	80.0	63.0
128.0	114.0	105.0
71.0	71.0	75.0
51.0	56.0	54.0
54.0	58.0	54.0
67.0	67.0	56.0
66.0	65.0	62.0
39.0	42.0	31.0
54.0	50.0	48.0
62.0	67.0	68.0
58.0	59.0	50.0
56.0	62.0	56.0
32.0	39.0	31.0
52.0	54.0	46.0
65.0	65.0	57.0
29.0	31.0	21.0
52.0	53.0	47.0
65.0	55.0	42.0
65.0	71.0	73.0
71.0	65.0	75.0
84.0	78.0	75.0
64.0	67.0	71.0
74.0	70.0	71.0
77.0	74.0	84.0
89.0	88.0	76.0
48.0	48.0	42.0
92.0	94.0	104.0
67.0	67.0	76.0
56.0	54.0	50.0
113.0	111.0	113.0
54.0	56.0	53.0
85.0	85.0	92.0
59.0	64.0	62.0
51.0	52.0	58.0
106.0	106.0	105.0
25.0	29.0	20.0
90.0	92.0	100.0
50.0	52.0	51.0
56.0	56.0	47.0
70.0	73.0	72.0
48.0	48.0	42.0
81.0	79.0	83.0
58.0	60.0	57.0
98.0	101.0	106.0
83.0	85.0	79.0
42.0	45.0	35.0
132.0	127.0	129.0
94.0	83.0	65.0
143.0	141.0	136.0
106.0	94.0	78.0
63.0	58.0	49.0
50.0	48.0	39.0
128.0	127.0	120.0
160.0	150.0	147.0
79.0	81.0	79.0
136.0	137.0	139.0
99.0	101.0	101.0
51.0	49.0	36.0
